# b8ebe1c9-4380-45b5-a9f0-5b5056c35ff1
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 0.7342481; -3.2172676; -1.3613290; 0.0100516; 22.0000000; 0.0000000
0.0999954; 0.8302358; -3.1968139; -1.3603843; 0.0091980; 22.0000000; 0.0000000
0.1999907; 0.9261858; -3.1762777; -1.3595240; 0.0083342; 22.0000000; 0.0000000
0.2999861; 1.0221240; -3.1556619; -1.3587489; 0.0074622; 22.0000000; 0.0000000
0.3999815; 1.1180761; -3.1349696; -1.3580595; 0.0065841; 22.0000000; 0.0000000
0.4999768; 1.2140680; -3.1142039; -1.3574562; 0.0057018; 22.0000000; 0.0000000
0.5999722; 1.3101255; -3.0933675; -1.3569392; 0.0048174; 22.0000000; 0.0000000
0.6999676; 1.4062744; -3.0724637; -1.3565087; 0.0039327; 22.0000000; 0.0000000
0.7999629; 1.5025405; -3.0514953; -1.3561648; 0.0030499; 22.0000000; 0.0000000
0.8999583; 1.5989497; -3.0304654; -1.3559073; 0.0021709; 22.0000000; 0.0000000
0.9999537; 1.6955278; -3.0093770; -1.3557359; 0.0012975; 22.0000000; 0.0000000
1.0999490; 1.7923006; -2.9882330; -1.3556503; 0.0004317; 22.0000000; 0.0000000
1.1999444; 1.8892939; -2.9670365; -1.3556501; -0.0004247; 22.0000000; 0.0000000
1.2999398; 1.9865335; -2.9457905; -1.3557346; -0.0012699; 22.0000000; 0.0000000
1.3999351; 2.0840452; -2.9244979; -1.3559030; -0.0021023; 22.0000000; 0.0000000
1.4999305; 2.1818550; -2.9031618; -1.3561545; -0.0029201; 22.0000000; 0.0000000
1.5999259; 2.2799885; -2.8817852; -1.3564882; -0.0037218; 22.0000000; 0.0000000
1.6999213; 2.3784716; -2.8603710; -1.3569030; -0.0045060; 22.0000000; 0.0000000
1.7999166; 2.4773302; -2.8389223; -1.3573977; -0.0052713; 22.0000000; 0.0000000
1.8999120; 2.5765900; -2.8174420; -1.3579711; -0.0060163; 22.0000000; 0.0000000
1.9999074; 2.6762769; -2.7959332; -1.3586218; -0.0067399; 22.0000000; 0.0000000
2.0999027; 2.7764166; -2.7743988; -1.3593483; -0.0074410; 22.0000000; 0.0000000
2.1998981; 2.8770351; -2.7528419; -1.3601491; -0.0081187; 22.0000000; 0.0000000
2.2998935; 2.9781581; -2.7312655; -1.3610225; -0.0087719; 22.0000000; 0.0000000
2.3998888; 3.0798115; -2.7096725; -1.3619670; -0.0094000; 22.0000000; 0.0000000
2.4998842; 3.1721714; -2.6901433; -1.3628804; -0.0099477; 22.0000000; 0.0000000
2.5998796; 3.2649235; -2.6706224; -1.3638487; -0.0104819; 22.0000000; 0.0000000
2.6998749; 3.3581307; -2.6511026; -1.3648718; -0.0110033; 22.0000000; 0.0000000
2.7998703; 3.4517937; -2.6315900; -1.3659490; -0.0115122; 22.0000000; 0.0000000
2.8998657; 3.5459131; -2.6120907; -1.3670795; -0.0120090; 22.0000000; 0.0000000
2.9998610; 3.6404895; -2.5926108; -1.3682627; -0.0124940; 22.0000000; 0.0000000
3.0998564; 3.7355235; -2.5731564; -1.3694977; -0.0129675; 22.0000000; 0.0000000
3.1998518; 3.8310158; -2.5537337; -1.3707840; -0.0134298; 22.0000000; 0.0000000
3.2998471; 3.9269669; -2.5343486; -1.3721208; -0.0138812; 22.0000000; 0.0000000
3.3998425; 4.0233775; -2.5150073; -1.3735076; -0.0143220; 22.0000000; 0.0000000
3.4998379; 4.1202482; -2.4957158; -1.3749435; -0.0147524; 22.0000000; 0.0000000
3.5998332; 4.2175796; -2.4764804; -1.3764281; -0.0151727; 22.0000000; 0.0000000
3.6998286; 4.3153724; -2.4573071; -1.3779607; -0.0155832; 22.0000000; 0.0000000
3.7998240; 4.4136270; -2.4382019; -1.3795407; -0.0159840; 22.0000000; 0.0000000
3.8998193; 4.5123442; -2.4191710; -1.3811674; -0.0163755; 22.0000000; 0.0000000
3.9998147; 4.6115246; -2.4002205; -1.3828403; -0.0167578; 22.0000000; 0.0000000
4.0998101; 4.7111688; -2.3813564; -1.3845588; -0.0171312; 22.0000000; 0.0000000
4.1998054; 4.8112774; -2.3625849; -1.3863223; -0.0174958; 22.0000000; 0.0000000
